i,Date,simWSL_Py,simQmn_Py,simQbr_Py
0,1981-01-01,258.071,979.965,0
1,1981-01-02,258.069,977.817,0
2,1981-01-03,258.067,975.67,0
3,1981-01-04,258.068,973.526,0
4,1981-01-05,258.069,971.385,0
5,1981-01-06,258.071,1149.971,0
6,1981-01-07,258.062,967.113,0
7,1981-01-08,258.06,964.984,0
8,1981-01-09,258.057,962.86,0
9,1981-01-10,258.056,960.742,0
10,1981-01-11,258.058,958.631,0
11,1981-01-12,258.064,956.528,0
12,1981-01-13,258.066,954.432,0
13,1981-01-14,258.063,952.345,0
14,1981-01-15,258.059,950.266,0
15,1981-01-16,258.052,948.198,0
16,1981-01-17,258.047,946.14,0
17,1981-01-18,258.047,944.093,0
18,1981-01-19,258.047,942.057,0
19,1981-01-20,258.045,940.034,0
20,1981-01-21,258.041,938.024,0
21,1981-01-22,258.041,936.026,0
22,1981-01-23,258.045,934.043,0
23,1981-01-24,258.05,932.075,0
24,1981-01-25,258.058,930.121,0
25,1981-01-26,258.066,928.184,0
26,1981-01-27,258.069,926.262,0
27,1981-01-28,258.068,924.358,0
28,1981-01-29,258.066,922.471,0
29,1981-01-30,258.063,920.601,0
30,1981-01-31,258.066,918.751,0
31,1981-02-01,258.067,916.919,0
32,1981-02-02,258.065,915.108,0
33,1981-02-03,258.064,913.316,0
34,1981-02-04,258.069,911.545,0
35,1981-02-05,258.077,921.723,0
36,1981-02-06,258.083,908.067,0
37,1981-02-07,258.082,906.361,0
38,1981-02-08,258.079,904.989,0
39,1981-02-09,258.078,907.29,0
40,1981-02-10,258.081,901.383,0
41,1981-02-11,258.083,899.771,0
42,1981-02-12,258.083,898.184,0
43,1981-02-13,258.084,896.622,0
44,1981-02-14,258.09,895.086,0
45,1981-02-15,258.103,893.576,0
46,1981-02-16,258.108,892.093,0
47,1981-02-17,258.11,890.636,0
48,1981-02-18,258.11,889.207,0
49,1981-02-19,258.109,887.806,0
50,1981-02-20,258.111,886.433,0
51,1981-02-21,258.117,885.089,0
52,1981-02-22,258.128,883.774,0
53,1981-02-23,258.135,882.488,0
54,1981-02-24,258.138,881.232,0
55,1981-02-25,258.139,880.006,0
56,1981-02-26,258.139,878.811,0
57,1981-02-27,258.146,877.647,0
58,1981-02-28,258.153,876.514,0
59,1981-03-01,258.154,875.413,0
60,1981-03-02,258.153,874.343,0
61,1981-03-03,258.152,873.306,0
62,1981-03-04,258.154,872.302,0
63,1981-03-05,258.155,871.33,0
