SUBID,ASURF,WREF,WLIM,WMIN,QAVG,QAMP,QPHA,QEXP,QRAT,QMIN,QMAX,MAIN,BMAX,DEST,BFLAG
1001209,458000000,556.706,550.664,549.582,200.231,0.449,61,0.086,403.254,-9999,-9999,-9999,-9999,-9999,1
1000214,2227000000,258.071,257.019,256.97,983.189,0.127,183,-0.063,665.805,493.093,991.7,0.773,0,1001415,1
