Date,obsQin,obsP,obsE
1981-01-01,84.475,0,0
1981-01-02,112.664,0,0
1981-01-03,140.764,0,0
1981-01-04,168.063,0,0
1981-01-05,144.943,0.000732,0
1981-01-06,121.823,0.0001,0
1981-01-07,99.593,0.001487,0
1981-01-08,112.931,0,0
1981-01-09,108.04,0,0
1981-01-10,109.375,0.000476,0
1981-01-11,117.644,0,0
1981-01-12,126.002,0,0
1981-01-13,134.273,0,0
1981-01-14,143.165,0,0
1981-01-15,142.275,0,0
1981-01-16,142.275,0,0
1981-01-17,124.491,0,0
1981-01-18,114.71,0,0
1981-01-19,109.107,0,0
1981-01-20,103.505,0,0
1981-01-21,97.814,0,0
1981-01-22,101.371,0,0
1981-01-23,102.26,0,0.000005
1981-01-24,102.26,0.000014,0
1981-01-25,124.757,0.002509,0
1981-01-26,118.533,0.000723,0
1981-01-27,112.664,0,0
1981-01-28,106.084,0,0
1981-01-29,132.494,0,0
1981-01-30,105.817,0.000512,0
1981-01-31,103.594,0,0
1981-02-01,101.371,0,0
1981-02-02,100.749,0,0
1981-02-03,99.326,0,0
1981-02-04,97.814,0,0
1981-02-05,85.366,0,0
1981-02-06,99.593,0.000762,0
1981-02-07,104.929,0,0
1981-02-08,101.371,0.001891,0
1981-02-09,101.371,0,0
1981-02-10,101.371,0,0
1981-02-11,102.26,0,0
1981-02-12,101.371,0,0
1981-02-13,101.371,0,0
1981-02-14,103.149,0,0
1981-02-15,89.812,0,0
1981-02-16,89.188,0,0
1981-02-17,88.655,0,0.000001
1981-02-18,88.033,0,0.000001
1981-02-19,90.7,0.000239,0.000001
1981-02-20,97.726,0.000058,0.000002
1981-02-21,107.595,0,0.000003
1981-02-22,116.754,0,0.000005
1981-02-23,115.599,0,0.000007
1981-02-24,114.355,0,0
1981-02-25,109.375,0.000842,0
1981-02-26,96.036,0,0
1981-02-27,92.478,0.000246,0
1981-02-28,84.475,0,0
1981-03-01,84.475,0,0
1981-03-02,94.792,0,0
1981-03-03,105.195,0,0.000055
1981-03-04,108.485,0,0.000062
1981-03-05,109.552,0,0.000077
1981-03-06,107.595,0.000006,0
1981-03-07,106.707,0,0
1981-03-08,106.707,0,0
1981-03-09,94.792,0,0
1981-03-10,82.964,0,0.000168
1981-03-11,71.138,0,0.000216
1981-03-12,109.375,0,0.000234
1981-03-13,109.375,0,0.000279
1981-03-14,124.491,0,0.000354
1981-03-15,119.156,0,0.000416
1981-03-16,120.934,0,0.000534
1981-03-17,122.712,0,0.000643
1981-03-18,124.491,0.000368,0.000531
1981-03-19,109.375,0,0
1981-03-20,115.599,0.001069,0
1981-03-21,111.153,0.000045,0
1981-03-22,124.491,0,0
1981-03-23,137.83,0,0
1981-03-24,151.167,0,0.00096
1981-03-25,164.595,0,0.000998
1981-03-26,168.063,0.000223,0.001025
1981-03-27,177.844,0.000076,0.000976
1981-03-28,165.395,0,0.001425
1981-03-29,166.018,0,0.001915
1981-03-30,170.196,0.002932,0.001836
1981-03-31,163.617,0.001223,0.001446
1981-04-01,144.232,0,0.002053
1981-04-02,139.607,0.000941,0.002111
1981-04-03,153.836,0,0.001634
1981-04-04,162.727,0.002496,0.001797
1981-04-05,163.35,0,0.001965
1981-04-06,154.991,0.004321,0.002358
1981-04-07,159.171,0,0.001567
1981-04-08,167.174,0,0.001956
1981-04-09,168.063,0.000744,0.002036
1981-04-10,153.836,0.000109,0.001864
1981-04-11,144.943,0.00037,0.002292
1981-04-12,141.385,0.004374,0.002081
1981-04-13,134.273,0,0
1981-04-14,128.937,0,0
1981-04-15,125.38,0,0.003063
1981-04-16,122.712,0,0.00346
1981-04-17,117.377,0,0.002488
1981-04-18,120.401,0,0.002645
1981-04-19,130.538,0,0.002596
1981-04-20,117.377,0.000581,0.002508
1981-04-21,114.176,0.001293,0.003042
1981-04-22,110.263,0,0.002988
1981-04-23,108.485,0,0.003516
1981-04-24,111.153,0,0.003938
1981-04-25,111.153,0,0.003624
1981-04-26,104.039,0,0.003462
1981-04-27,106.707,0,0.003429
1981-04-28,108.485,0,0.003165
1981-04-29,113.82,0,0.003157
1981-04-30,152.056,0,0.003338
1981-05-01,150.278,0,0.003405
1981-05-02,140.497,0.001337,0.004225
1981-05-03,132.227,0.000003,0.003258
1981-05-04,134.539,0,0.002984
1981-05-05,129.826,0,0.003202
1981-05-06,128.048,0.002706,0.003586
1981-05-07,171.887,0.000094,0.003837
1981-05-08,165.395,0.000498,0.002556
1981-05-09,165.395,0.000125,0.003285
1981-05-10,160.504,0.002749,0.002608
1981-05-11,194.739,0,0.003148
1981-05-12,236.977,0,0.003463
1981-05-13,258.764,0,0.003712
1981-05-14,384.144,0,0.003785
1981-05-15,408.152,0,0.00392
1981-05-16,441.053,0,0.003227
1981-05-17,385.922,0,0.004165
1981-05-18,337.015,0,0.004166
1981-05-19,329.901,0,0.00467
1981-05-20,739.832,0,0.005265
1981-05-21,818.972,0,0.005293
1981-05-22,763.84,0,0.005378
1981-05-23,849.206,0,0.004674
1981-05-24,849.206,0,0.004162
1981-05-25,965.693,0,0.004284
1981-05-26,1502.782,0,0.004823
1981-05-27,1719.753,0.001689,0.004543
1981-05-28,1727.757,0.000743,0.004421
1981-05-29,1614.825,0.001416,0.003867
1981-05-30,1716.196,0,0.00418
1981-05-31,1662.309,0,0.004523
1981-06-01,1477.885,0.005592,0.003838
1981-06-02,1323.783,0,0.004712
1981-06-03,1114.194,0.001264,0.004924
1981-06-04,975.476,0.00254,0.004332
1981-06-05,998.595,0,0.004726
1981-06-06,1004.82,0.008058,0.004832
1981-06-07,982.855,0,0.003947
1981-06-08,861.388,0.003214,0.004036
1981-06-09,839.425,0.000737,0.004052
1981-06-10,800.299,0,0.004293
1981-06-11,775.4,0.003703,0.004393
1981-06-12,682.032,0,0.004505
1981-06-13,663.359,0.026533,0.003759
1981-06-14,582.44,0.020898,0.002242
1981-06-15,529.975,0.001473,0.004277
1981-06-16,551.939,0,0.004955
